t f_inst
1.668834417208604382e-05 2.667851000000000000e+06
1.669834917458729341e-05 2.667851000000000000e+06
1.670835417708854638e-05 2.667851000000000000e+06
1.671835917958979596e-05 2.667851000000000000e+06
1.672836418209104555e-05 2.667851000000000000e+06
1.673836918459229852e-05 2.667851000000000000e+06
1.674837418709354810e-05 2.667851000000000000e+06
1.675837918959479768e-05 2.667851000000000000e+06
1.676838419209605066e-05 2.667851000000000000e+06
1.677838919459730024e-05 2.667851000000000000e+06
1.678839419709854982e-05 2.667851000000000000e+06
1.679839919959979941e-05 2.667851000000000000e+06
1.680840420210105238e-05 2.667851000000000000e+06
1.681840920460230196e-05 2.667851000000000000e+06
1.682841420710355155e-05 2.667851000000000000e+06
1.683841920960480452e-05 2.667851000000000000e+06
1.684842421210605410e-05 2.667851000000000000e+06
1.685842921460730369e-05 2.667851000000000000e+06
1.686843421710855666e-05 2.667851000000000000e+06
1.687843921960980624e-05 2.667851000000000000e+06
1.688844422211105583e-05 2.667851000000000000e+06
1.689844922461230880e-05 2.667851000000000000e+06
1.690845422711355838e-05 2.667851000000000000e+06
1.691845922961480797e-05 2.667851000000000000e+06
1.692846423211605755e-05 2.667851000000000000e+06
1.693846923461731052e-05 2.667851000000000000e+06
1.694847423711856011e-05 2.667851000000000000e+06
1.695847923961980969e-05 2.667851000000000000e+06
1.696848424212106266e-05 2.667851000000000000e+06
1.697848924462231224e-05 2.667851000000000000e+06
1.698849424712356183e-05 2.667851000000000000e+06
1.699849924962481480e-05 2.667851000000000000e+06
1.700850425212606438e-05 2.667851000000000000e+06
1.701850925462731397e-05 2.667851000000000000e+06
1.702851425712856694e-05 2.667851000000000000e+06
1.703851925962981652e-05 2.667851000000000000e+06
1.704852426213106611e-05 2.667851000000000000e+06
1.705852926463231569e-05 2.667851000000000000e+06
1.706853426713356866e-05 2.667851000000000000e+06
1.707853926963481825e-05 2.667851000000000000e+06
1.708854427213606783e-05 2.667851000000000000e+06
1.709854927463732080e-05 2.667851000000000000e+06
1.710855427713857039e-05 2.667851000000000000e+06
1.711855927963981997e-05 2.667851000000000000e+06
1.712856428214107294e-05 2.667851000000000000e+06
1.713856928464232253e-05 2.610684500000000000e+06
1.714857428714357211e-05 2.610684500000000000e+06
1.715857928964482508e-05 2.610684500000000000e+06
1.716858429214607466e-05 2.610684500000000000e+06
1.717858929464732425e-05 2.610684500000000000e+06
1.718859429714857383e-05 2.610684500000000000e+06
1.719859929964982680e-05 2.610684500000000000e+06
1.720860430215107639e-05 2.610684500000000000e+06
1.721860930465232597e-05 2.610684500000000000e+06
1.722861430715357894e-05 2.610684500000000000e+06
1.723861930965482853e-05 2.610684500000000000e+06
1.724862431215607811e-05 2.610684500000000000e+06
1.725862931465733108e-05 2.610684500000000000e+06
1.726863431715858067e-05 2.610684500000000000e+06
1.727863931965983025e-05 2.610684500000000000e+06
1.728864432216108322e-05 2.610684500000000000e+06
1.729864932466233281e-05 2.610684500000000000e+06
1.730865432716358239e-05 2.610684500000000000e+06
1.731865932966483197e-05 2.610684500000000000e+06
1.732866433216608495e-05 2.610684500000000000e+06
1.733866933466733453e-05 2.610684500000000000e+06
1.734867433716858411e-05 2.610684500000000000e+06
1.735867933966983708e-05 2.610684500000000000e+06
1.736868434217108667e-05 2.610684500000000000e+06
1.737868934467233625e-05 2.610684500000000000e+06
1.738869434717358922e-05 2.610684500000000000e+06
1.739869934967483881e-05 2.610684500000000000e+06
